PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SPED,THTA,THTE,THTV
1014.2,31,24.7,20.2,76,14.86,138,3.4,296.7,339.7,299.3
1011.0,59,23.7,19.8,79,14.49,145,1.9,295.9,337.8,298.5
1000.0,154,22.7,19.6,82,14.48,138,2.8,295.9,337.7,298.5
984.0,294,21.5,18.6,84,13.82,152,2.8,296.0,336.0,298.4
982.2,310,21.7,17.4,77,12.80,153,2.7,296.3,333.4,298.6
954.1,562,19.8,15.1,74,11.35,186,1.8,296.9,330.0,299.0
925.0,828,17.5,14.5,82,11.29,268,1.5,297.2,330.1,299.2
910.5,963,16.3,14.5,89,11.49,278,1.5,297.3,330.7,299.3
901.7,1047,15.9,13.5,86,10.85,292,1.3,297.7,329.4,299.6
864.9,1399,13.3,13.3,100,11.17,243,4.0,298.6,331.3,300.6
850.0,1546,12.6,12.6,100,10.85,217,4.2,299.3,331.3,301.3
832.7,1719,11.6,11.6,100,10.34,189,3.3,300.0,330.6,301.9
831.8,1728,11.4,9.1,85,8.73,187,3.4,299.9,325.9,301.5
827.3,1773,12.3,-26.4,5,0.54,177,3.1,301.3,303.1,301.4
825.3,1794,14.2,-27.0,4,0.51,172,2.8,303.6,305.4,303.7
823.9,1808,16.6,-26.4,4,0.54,168,2.6,306.2,308.1,306.3
816.5,1885,19.3,-27.9,3,0.47,162,2.2,309.9,311.6,310.0
783.4,2238,17.5,-28.6,3,0.46,201,3.4,311.6,313.3,311.7
775.2,2328,17.9,-31.6,2,0.35,198,3.8,313.0,314.3,313.0
743.6,2681,15.6,-34.7,2,0.27,208,4.1,314.2,315.3,314.3
713.8,3026,14.7,-31.6,3,0.38,252,1.5,316.9,318.4,317.0
700.0,3190,13.5,-32.3,3,0.36,218,2.7,317.4,318.8,317.5
657.5,3713,10.3,-34.7,3,0.31,273,1.8,319.5,320.7,319.6
550.7,5154,-1.3,-34.6,6,0.37,326,1.0,322.3,323.7,322.4
514.5,5692,-4.4,-35.8,7,0.35,25,1.5,324.9,326.3,325.0
506.6,5814,-4.1,-39.6,4,0.24,347,2.2,326.8,327.7,326.8
500.0,5917,-4.4,-40.0,4,0.24,333,1.1,327.5,328.5,327.6
410.1,7446,-14.5,-52.8,2,0.07,354,5.1,333.7,334.0,333.7
405.0,7540,-15.0,-52.4,3,0.07,348,5.8,334.2,334.6,334.3
403.4,7570,-14.8,-54.0,2,0.06,345,5.2,334.8,335.1,334.8
400.0,7635,-15.0,-55.3,2,0.05,332,3.2,335.4,335.7,335.5
368.8,8242,-19.7,-59.6,2,0.03,259,2.7,337.1,337.2,337.1
340.3,8835,-23.0,-55.5,3,0.06,156,3.8,340.3,340.6,340.3
302.7,9681,-30.6,-57.8,5,0.05,326,3.7,341.3,341.5,341.3
300.0,9744,-30.9,-59.1,5,0.04,326,4.1,341.7,341.9,341.7
293.5,9898,-31.5,-61.8,3,0.03,328,4.4,343.0,343.2,343.0
282.2,10174,-33.8,-62.3,4,0.03,347,5.0,343.5,343.7,343.5
271.5,10446,-36.2,-64.3,4,0.02,323,5.0,343.9,344.0,343.9
250.0,11012,-40.5,-67.2,4,0.02,330,2.7,345.7,345.7,345.7
212.8,12087,-49.7,-73.2,5,0.01,209,1.3,347.6,347.7,347.6
200.0,12490,-53.0,-74.8,5,0.01,246,1.8,348.7,348.8,348.7
193.6,12700,-54.3,-77.5,4,0.01,135,0.1,349.9,349.9,349.9
193.4,12705,-54.3,-77.5,4,0.01,92,0.1,349.9,350.0,349.9
171.3,13474,-60.3,-77.7,9,0.01,26,5.2,352.4,352.4,352.4
161.9,13823,-63.1,-78.5,11,0.01,45,4.2,353.4,353.4,353.4
156.1,14045,-64.5,-79.9,10,0.00,87,6.4,354.7,354.8,354.7
150.0,14287,-66.3,-80.2,13,0.00,98,9.1,355.7,355.7,355.7
146.4,14435,-67.3,-80.5,14,0.00,110,9.5,356.5,356.5,356.5
139.7,14717,-69.0,-82.4,13,0.00,132,6.8,358.3,358.3,358.3
135.8,14882,-70.4,-82.7,15,0.00,144,5.0,358.7,358.7,358.7
116.8,15760,-78.5,-85.4,32,0.00,169,4.6,359.5,359.5,359.5
111.7,16014,-79.4,-88.5,22,0.00,352,1.6,362.3,362.3,362.3
100.1,16634,-81.7,-91.3,19,0.00,122,2.5,369.5,369.5,369.5
100.0,16639,-81.7,-91.2,19,0.00,122,2.5,369.6,369.6,369.6
96.3,16847,-82.8,-91.5,22,0.00,146,5.0,371.4,371.5,371.4
93.0,17043,-83.6,-91.4,25,0.00,153,4.0,373.6,373.6,373.6
89.6,17251,-82.1,-89.6,27,0.00,3,1.7,380.5,380.5,380.5
84.4,17587,-83.4,-90.3,30,0.00,55,2.5,384.5,384.5,384.5
80.6,17842,-82.3,-89.7,28,0.00,280,0.1,391.8,391.8,391.8
73.6,18349,-82.1,-89.8,26,0.00,191,4.8,402.7,402.7,402.7
72.9,18402,-81.7,-89.8,25,0.00,195,6.0,404.6,404.6,404.6
70.1,18622,-79.9,-89.1,21,0.00,195,5.0,412.9,413.0,412.9
70.0,18631,-79.8,-89.1,21,0.00,195,5.0,413.2,413.3,413.2
69.6,18663,-79.8,-89.5,19,0.00,191,4.6,414.0,414.0,414.0
68.9,18720,-77.9,-88.4,17,0.00,175,3.8,419.2,419.3,419.2
67.1,18869,-78.9,-89.1,18,0.00,131,5.1,420.3,420.3,420.3
66.6,18917,-79.1,-89.4,17,0.00,137,6.2,420.7,420.7,420.7
64.7,19078,-77.9,-89.2,15,0.00,171,7.2,427.0,427.0,427.0
62.4,19283,-77.4,-89.5,13,0.00,189,10.7,432.3,432.4,432.3
59.4,19569,-77.1,-90.0,11,0.00,221,8.0,439.3,439.4,439.3
57.3,19779,-77.1,-90.3,11,0.00,270,6.7,443.8,443.8,443.8
57.0,19803,-77.0,-90.4,11,0.00,279,6.1,444.6,444.6,444.6
55.1,20001,-76.3,-90.4,9,0.00,3,5.0,450.7,450.7,450.7
53.8,20140,-74.8,-90.4,7,0.00,354,5.5,457.2,457.2,457.2
53.3,20195,-74.0,-90.2,7,0.00,6,4.6,460.3,460.3,460.3
52.9,20240,-74.0,-90.4,7,0.00,28,4.1,461.1,461.2,461.2
51.9,20344,-74.4,-91.4,6,0.00,62,4.4,462.9,462.9,462.9
51.1,20439,-71.5,-90.7,4,0.00,40,4.7,471.6,471.6,471.6
51.0,20454,-71.4,-90.8,4,0.00,35,5.1,472.0,472.0,472.0
50.3,20530,-71.3,-91.2,4,0.00,32,5.8,474.3,474.4,474.3
50.0,20568,-71.2,-91.8,3,0.00,38,5.3,475.3,475.3,475.3
49.6,20617,-70.5,-92.1,3,0.00,42,4.8,477.9,478.0,477.9
49.1,20675,-68.3,-91.5,2,0.00,35,5.1,484.5,484.6,484.5
47.7,20855,-67.6,-92.1,2,0.00,27,9.3,490.2,490.2,490.2
46.5,21000,-66.9,-92.5,2,0.00,47,8.3,495.5,495.5,495.5
45.5,21128,-63.8,-92.4,1,0.00,69,7.9,506.1,506.1,506.1
44.5,21269,-62.3,-92.1,1,0.00,116,6.9,513.1,513.2,513.1
43.8,21369,-61.6,-91.8,1,0.00,116,7.1,517.0,517.0,517.0
43.6,21393,-61.6,-91.6,1,0.00,113,6.8,517.8,517.8,517.8
42.3,21589,-62.2,-91.4,1,0.00,77,7.3,520.7,520.7,520.7
41.8,21663,-61.8,-91.6,1,0.00,81,7.3,523.5,523.5,523.5
41.3,21738,-60.9,-91.5,1,0.00,102,7.3,527.6,527.6,527.6
40.0,21925,-61.5,-90.9,1,0.00,142,7.8,530.8,530.8,530.8
37.9,22269,-62.0,-90.8,1,0.00,134,6.9,537.9,538.0,537.9
37.2,22388,-62.3,-91.2,1,0.00,143,7.5,540.0,540.0,540.0
34.0,22940,-57.2,-89.8,1,0.00,217,6.3,567.3,567.4,567.3
33.7,22989,-57.5,-89.6,1,0.00,224,6.6,568.2,568.2,568.2
32.7,23183,-58.1,-89.7,1,0.00,227,8.0,571.4,571.5,571.4
30.0,23731,-57.9,-89.7,1,0.00,40,2.7,586.2,586.2,586.2
28.8,23979,-58.0,-89.7,1,0.00,79,1.4,592.8,592.9,592.8
28.1,24146,-58.3,-89.8,1,0.00,61,3.9,596.2,596.3,596.2
25.8,24684,-55.1,-89.1,1,0.01,23,6.4,620.1,620.1,620.1
24.9,24907,-54.0,-88.4,1,0.01,9,8.4,629.5,629.6,629.5
24.5,25021,-52.8,-88.1,1,0.01,24,8.8,635.8,635.8,635.8
24.2,25099,-52.9,-88.1,1,0.01,35,9.2,637.7,637.8,637.7
23.0,25415,-51.8,-87.4,1,0.01,55,11.9,650.3,650.4,650.3
21.9,25729,-50.7,-87.2,1,0.01,58,6.9,662.8,662.9,662.8
21.4,25904,-50.4,-87.1,1,0.01,84,6.2,668.0,668.1,668.0
20.9,26051,-49.2,-86.8,0,0.01,71,4.3,676.2,676.3,676.2
20.0,26336,-48.0,-86.4,0,0.01,94,7.1,688.4,688.5,688.4
19.1,26639,-47.3,-85.8,0,0.01,105,5.8,699.9,700.0,699.9
18.8,26760,-47.2,-86.0,0,0.01,69,5.2,703.2,703.3,703.2
18.5,26846,-46.9,-85.8,0,0.01,67,5.2,707.4,707.6,707.4
18.3,26917,-46.6,-85.6,0,0.01,80,4.8,710.7,710.9,710.7
17.6,27179,-47.8,-85.7,1,0.01,144,6.8,714.6,714.8,714.6
17.3,27304,-48.3,-85.5,1,0.02,155,7.2,716.7,716.9,716.7
17.0,27426,-48.8,-86.0,1,0.01,134,5.0,718.6,718.7,718.6
16.0,27801,-49.2,-86.4,1,0.01,140,4.7,729.9,730.0,729.9
15.9,27859,-48.9,-86.6,0,0.01,144,5.2,732.1,732.3,732.2
15.5,28017,-47.5,-86.2,0,0.02,117,7.7,742.1,742.3,742.1
15.3,28100,-47.9,-86.1,0,0.02,107,8.1,743.6,743.8,743.6
14.5,28460,-48.3,-86.3,0,0.02,108,6.2,753.6,753.8,753.6
13.5,28928,-48.7,-86.4,0,0.02,150,5.0,768.0,768.2,768.0
13.3,29037,-49.1,-86.8,0,0.02,132,4.9,769.8,770.0,769.8
13.0,29185,-47.3,-86.1,0,0.02,113,3.0,780.9,781.2,780.9
12.8,29285,-47.5,-86.2,0,0.02,91,1.9,783.8,784.0,783.8
12.2,29576,-47.1,-86.0,0,0.02,101,5.0,795.9,796.2,796.0
11.0,30290,-47.2,-86.0,0,0.02,13,5.6,819.4,819.7,819.5
10.6,30525,-47.6,-86.3,0,0.02,12,6.7,826.8,827.1,826.8
10.3,30735,-46.8,-85.8,0,0.02,14,8.9,836.5,836.8,836.5
10.0,30909,-47.0,-85.9,0,0.02,27,8.1,842.9,843.2,842.9
9.2,31497,-45.4,-84.8,0,0.03,57,11.3,869.3,869.7,869.3
9.1,31543,-45.3,-84.8,0,0.03,58,11.4,872.3,872.8,872.4
8.7,31797,-46.1,-85.3,0,0.03,57,8.1,880.5,880.9,880.5
8.5,31998,-47.1,-85.9,0,0.03,31,7.1,882.7,883.1,882.8
8.1,32303,-45.9,-85.2,0,0.04,44,7.7,899.7,900.1,899.7
7.9,32492,-44.2,-84.1,0,0.04,28,9.5,912.8,913.4,912.8
7.7,32686,-42.9,-83.2,0,0.05,53,9.2,924.7,925.4,924.7
7.6,32780,-42.0,-82.6,0,0.06,49,8.9,931.8,932.6,931.8
7.4,32952,-42.1,-82.7,0,0.06,38,9.8,938.4,939.3,938.5
6.9,33341,-43.1,-83.3,0,0.06,40,12.3,953.6,954.4,953.6
6.8,33500,-42.4,-82.8,0,0.06,34,13.6,960.5,961.4,960.5
